speaker	start	end	rank	text
FIE073 	273.99	281.96	0.0598455598455598 uh titanium's also gonna laminated the them people and manufacturing said that you could make curved case a set of titanium although 	
FIE073 	283.5	284.37	0.32046332046332 Apple do it with 	
FIE073 	285.04	286.82	0.322393822393822 Power but i'm not quite sure but 	
FIE073 	287.35	291.22	0.324324324324324 At nevertheless so um the eliminated all of our options except what 	
FIE073 	292.46	292.92	0.326254826254826 So 	
FIE038 	293.03	294.26	0.328185328185328 Financially friendly 	
FIE073 	293.39	294.65	0.33011583011583 This is our flying 	
FIE073 	295.07	299.46	0.332046332046332 And it is she said it's environmentally friendly a mature or so 	
FIE073 	300.41	302.78	0.333976833976834 were correctly uh proposing 	
FIE073 	303.31	309.22	0.0694980694980695 Uh we'll get oh my personal preferences in just a sec so there's this other matter of the chips and um 	
FIE073 	309.22	316.1	0.00193050193050193 well we could use a simple design on the board but uh this simple chips but that's only works for the buttons you don't get very much um 	
FIE073 	316.1	317.86	0.158301158301158 intelligence with the simple one 	
FIE073 	318.3	319.41	0.335907335907336 And um 	
FIE073 	319.41	321.7	0.337837837837838 then there was a regular which 	
FIE073 	322.7	325.03	0.33976833976834 I regret that i've forgotten exactly what 	
FIE073 	325.85	327.8	0.341698841698842 Why um well emanating that one 	
FIE073 	328.43	332.02	0.0714285714285714 Uh the other option was is advanced chip on print 	
FIE073 	332.85	342.51	0.0463320463320463 And uh we like we we found that it it includes is infrared sender which we member the beam was that was an important component of finding the right chip 	
FIE073 	343.05	346.79	0.0617760617760618 And and manufacturing as tall as they they if i um 	
FIE073 	346.79	354.99	0.0733590733590734 uh recently developed a uh a sensor and a speaker at that would that be integrated into this advanced chip on print so 	
FIE073 	355.51	356.81	0.343629343629344 Uh we we uh 	
FIE073 	357.3	359.99	0.345559845559846 Yeah jen thing right you are personal preferences 	
FIE073 	360.57	361.43	0.347490347490348 Well um 	
FIE073 	361.43	361.83	0.349420849420849 i 	
FIE073 	362.29	365.59	0.351351351351351 think we should you know you some of us some real exotic words 	
FIE073 	365.99	367.04	0.353281853281853 Like um 	
FIE073 	367.04	368.81	0.355212355212355 you know uh 	
FIE073 	368.81	375.23	0.357142857142857 well you guys come from tropical country so you can can think of some trees than some nice words i think that	
FIE073 	375.87	381.58	0.164092664092664 People might really want to design their own cases to see they could do through the the 	
FIE073 	382.24	398.79	0.00965250965250965 dimensional design on the internet and then they could submit their orders can like you submit a custom car or do or you know when you can choose the colour and size of the wheels and the colours of the weather and things like that and then i uh i think we should go with the solar cells as well as the um 	
MIE085 	390.88	391.31	0.359073359073359 You know 	
FIE073 	398.79	401.46	0.361003861003861 the microphone and speaker on the advanced chip 	
FIE073 	402.58	407.39	0.177606177606178 So the so the findings of our research and my recommendations 	
FIE073 	407.87	408.54	0.362934362934363 Um 	
FIE073 	408.54	412.57	0.0366795366795367 for the new remote control well mm would be to have um 	
FIE073 	413.03	414.22	0.364864864864865 Have be made out of wood 	
FIE073 	414.82	415.72	0.366795366795367 Any problems with a 	
MIO086 	416.33	418.29	0.368725868725869 Can you go back uh one slide 	
FIE073 	419.27	422.77	0.370656370656371 I'm not sure uh well i don't see it go back here 	
MIO086 	422.82	423.83	0.372586872586873 Yeah it's uh 	
MIO086 	423.83	425.08	0.374517374517374 our costs and uh 	
MIO086 	425.08	425.25	0.376447876447876 uh 	
MIO086 	426.22	430.64	0.0752895752895753 What's mean exactly a a once a chip on print what's meaning of that 	
FIE073 	430.97	432.19	0.378378378378378 I think it um 	
FIE073 	432.19	433.08	0.38030888030888 no um 	
FIE073 	433.08	434.67	0.382239382239382 a multiple uh 	
FIE073 	434.67	437.71	0.028957528957529 chip design um 	
MIE085 	435.73	436.33	0.384169884169884 Mm 	
FIE073 	437.71	440.6	0.386100386100386 and it's that may be printed on to the circuit board 	
FIE073 	442.1	442.79	0.388030888030888 Uh 	
FIE073 	442.79	445.12	0.17953667953668 it i could find out more about that uh 	
MIO086 	444.47	445.9	0.38996138996139 Is it means it's on this 	
FIE073 	445.12	446.91	0.391891891891892 the for the next a next meeting 	
MIO086 	446.85	450.44	0.0984555984555985 Yeah is it on uh michael was my control set based or or uh 	
FIE073 	452.7	455.31	0.181467181467181 I don't know but i'll find out more our next meeting 	
MIO086 	454.86	459.77	0.183397683397683 Okay that that would be great so if you find out know technology background okay so that would be cord 	
FIE073 	459.86	460.48	0.393822393822394 Sounds good 	
FIE038 	461.22	463.95	0.395752895752896 Why the plastic eliminated as a possible to 	
FIE073 	463.92	465.28	0.397683397683398 Because um 	
FIE073 	465.28	466.39	0.3996138996139 it gets a little 	
FIE073 	467.45	468.44	0.401544401544402 Cracks 	
FIE038 	468.65	469.08	0.403474903474904 Uh-huh 	
FIE073 	471.3	471.76	0.405405405405405 Um 	
FIE073 	473.12	475.08	0.407335907335907 We want we expect these um 	
FIE073 	475.79	479.97	0.0386100386100386 And these remote controls to be around for several hundred years 	
FIE073 	480.92	481.4	0.409266409266409 So 	
FIE038 	482.63	482.89	0.411196911196911 What 	
MIE085 	482.83	484.56	0.413127413127413 Well i 	
MIE085 	486.64	489.83	0.415057915057915 Right but it's fresh as well after s. i. 	
FIE073 	492.14	494.17	0.416988416988417 Ah to speak for itself up there 	
FIE038 	493.57	494.09	0.418918918918919 Well i think 	
FIE038 	496.91	502.92	0.420849420849421 I think what the way that you ran in the same types of problems with me i mean it's yeah so it if you drop bit	
FIE038 	503.95	505.7	0.422779922779923 It's i'm not so it's 	
MIO086 	507.1	508.7	0.424710424710425 See on a comment about the 	
MIE085 	508.18	509.27	0.185328185328185 I find where to sell it 	
FIE073 	510.87	511.49	0.426640926640927 Yeah oh well 	
MIE085 	511.71	512.59	0.428571428571429 Ready to sell it 	
FIE038 	512.52	517.31	0.43050193050193 If you we if he is really good quality what it that might work but you can just use 	
MIE085 	515.74	524.26	0.432432432432432 No it's not no no no the only one delay would you can use of the ones that are hard it's hard work but there's some very pretty close that there 	
FIE073 	515.89	516.43	0.434362934362934 And you can 	
FIE073 	517.03	519.3	0.436293436293436 It's a little sweater to take care of 	
FIE038 	521.1	522.39	0.438223938223938 Yeah exactly yeah 	
FIE073 	525.97	526.68	0.44015444015444 Oh i'm glad 	
MIE085 	526.32	528.07	0.442084942084942 That's actually very innovative idea 	
FIE073 	528.34	533.02	0.0405405405405405 O. k. i. c. r. and r. time people remote control of my uh it's 	
MIE085 	535.75	536.48	0.444015444015444 Let's have a very 	
MIE085 	537.2	538.84	0.445945945945946 different idea that uh 	
MIE085 	538.84	541.88	0.0888030888030888 you can choose you colour would you type of what 	
FIE038 	542.92	543.56	0.447876447876448 The stain 	
MIE085 	543.38	550.35	0.0154440154440154 I mean each person they have their personalised individualised Speech recognition remote control and what it's	
MIE085 	550.76	551.65	0.44980694980695 Not on the market 	
MIO086 	552.41	557.87	0.0791505791505791 Yeah so it's it's looks got the the design the function design uh what about a year you know 	
FIE038 	559.43	559.99	0.451737451737452 Um 	
FIE038 	561.02	564.08	0.453667953667954 In terms of comments on that so in terms of my own mm 	
MIO086 	562.28	563.93	0.455598455598456 Yes yes yes 	
MIE085 	563.53	565.19	0.457528957528958 Because of well i 	
MIO086 	565.01	566.58	0.459459459459459 In terms of comments cost 	
FIE038 	565.19	565.65	0.461389961389961 Yeah 	
FIE038 	565.65	565.79	0.463320463320463 yeah 	
FIE073 	567.59	571.57	0.465250965250965 She works and keep the context a nice to she's that she was a real little bit prepared for 	
FIE038 	571.54	572.26	0.467181467181467 Yeah 	
MIE085 	571.94	572.29	0.469111969111969 But 	
FIE073 	572.96	574.55	0.471042471042471 But the way yeah it was not 	
MIE085 	574.75	575.75	0.472972972972973 Well i 	
FIE038 	578.29	593.27	0.166023166023166 I think that the quality materials that then It shouldn't influence the design principles to match which you'll see with my presentation When think we'd have to check those what the user's whether How quickly the novelty wears off of having 	
FIE073 	592.23	592.71	0.474903474903475 Uh-huh 	
FIE073 	593.23	596.49	0.476833976833977 That you would wanna have to have splinters and and what you're using yeah 	
FIE038 	595.1	595.77	0.478764478764479 Yeah 	
FIE038 	595.77	596.68	0.480694980694981 for example 	
FIE038 	597.49	597.97	0.482625482625483 So 	
FIE038 	598.83	599.81	0.484555984555985 Have to see how 	
FIE038 	600.38	602.21	0.486486486486487 Kid friendly and it's and it's 	
FIE038 	602.94	603.69	0.488416988416988 And all that but 	
FIE073 	604.05	606.43	0.49034749034749 So you if you do i get ahold of it they can use it 	
FIE073 	607.96	608.67	0.492277992277992 For teething 	
MIE085 	610.34	612.4	0.494208494208494 I do any with the rubber plastic so 	
FIE073 	612.46	615.26	0.496138996138996 Yeah they do it with other materials as well yeah 	
MIE085 	613.67	614.01	0.498069498069498 Sure 	
MIE085 	615.37	615.89	0.5 Joe more 
MIO086 	616.83	618.84	0.501930501930502 Okay then uh let's more to uh 	
MIO086 	618.84	619.28	0.503861003861004 acne 	
MIO086 	630.05	631.25	0.505791505791506 So mm 	
MIO086 	638.87	640.17	0.507722007722008 You know in parts bin to it 	
FIE038 	639.7	640.19	0.50965250965251 Three 	
FIE038 	642.33	642.74	0.511583011583012 Uh 	
FIE038 	642.74	642.87	0.513513513513513 yeah 	
MIO086 	643.58	643.86	0.515444015444015 So 	
FIE038 	644.22	645.01	0.517374517374517 I think so yeah 	
FIE038 	648.23	652.57	0.519305019305019 So it's a very short presentation "'cause" i'm actually gonna draw you the layout on the board so 	
FIE038 	653.08	655.31	0.521235521235521 If you wanna discuss stick to the second slide 	
FIE038 	656.28	656.9	0.523166023166023 Um 	
FIE038 	656.9	661.18	0.525096525096525 which basically shows is sort of like to the ideas that we're talking about last time 	
FIE038 	661.77	662.53	0.527027027027027 Um 	
FIE038 	662.53	670.89	0.52702 and try to put that into the remote control so things it you can actually see on i i have a on off switch Volume and channel control them any access button 	
FIE038 	671.51	684.76	0.0135135135135135 Ergonomic shape which are completely agree for scenes idea to have it sort of moulded so it's slightly more ergonomic and comfortable to hold on the standard Very straight remote controls Actually the thing with the word if we take your customising idea is that	
FIE038 	685.21	691.75	0.138996138996139 actually do sort of quasi measurements on their hand size of someone as large your hands You have a wider remote control 	
FIE073 	689.09	692.87	0.528957528957529 Right my hand it's different size then you worse for example 	
FIE038 	693.6	696.72	0.102316602316602 So that takes a really good idea to estimate customise ability 	
FIE038 	697.26	702.76	0.113899613899614 Um one thing i thought might be kind of interesting is to put a flipscreen i just like you have one flip phones	
FIE038 	703.35	715.89	0.00579150579150579 So that you don't have this case where someone sits on the remote controller accidentally press their hand on especially get little kids around They're not pressing the buttons well you're trying to watch a t. v. show and accidentally change the channel or turn it off 	
FIE073 	715.55	715.98	0.530888030888031 hmm 	
FIE038 	716.72	717.51	0.532818532818533 And also 	
FIE038 	718.25	722.67	0.115830115830116 Um you have issues of batteries are aiming at said that maybe we could put a little battery life like 	
FIE038 	723.17	727.01	0.534749034749035 On it kinda goes demand demand them as your battery it starts to die 	
FIE038 	727.66	728.87	0.536679536679537 And in terms of invisible 	
FIE038 	730.39	732.9	0.121621621621622 and um tax uh feedback on button presses 	
FIE073 	732.97	733.35	0.538610038610039 Hmm 	
FIE073 	733.35	733.67	0.540540540540541 hmm 	
FIE038 	733.62	736.24	0.131274131274131 And Like you said speech recognition 	
FIE038 	737.42	738.57	0.542471042471042 So in terms 	
FIE038 	739.18	740.73	0.544401544401544 this thing that actually look like 	
FIE038 	743.52	747.77	0.167953667953668 Despite working in interface designer not the greatest artists in the world so you have to forgive me 	
FIE038 	750.9	751.7	0.546332046332046 You have something like 	
FIE038 	752.37	760.4	0.548262548262548 an on off switch really big Sort of in a corner and by itself so you don't accidentally turn the t. v. off are are trying to manoeuvre other buttons 	
FIE038 	761.14	764.03	0.146718146718147 And then you have sort of one of those topple display is 	
FIE038 	764.76	765.64	0.55019305019305 For oops 	
FIE038 	766.77	767.55	0.552123552123552 Channels 	
FIE038 	768.04	776.99	0.0173745173745174 And volume sort of for surfing channels and then volume so the volume would be the up and down volume goes up and down and then channels left or right 	
FIE038 	777.77	779.85	0.554054054054054 And then here you have your sort of standard 	
FIE038 	780.71	781.73	0.555984555984556 Telephone ish 	
FIE038 	782.83	783.66	0.557915057915058 Number pad 	
FIE038 	786.81	790.36	0.55984555984556 And then on one side you would have an access to the manual 	
FIE038 	791.25	793.86	0.561776061776062 On your t. v. And on the other side 	
FIE038 	794.66	796.58	0.563706563706564 A way to turn off the voice control 	
FIE038 	797.05	802.69	0.0424710424710425 So that if the user doesn't want to use the voice they can just turn it off and you don't have a remote control Accidentally 	
FIE073 	798.06	798.53	0.565637065637066 Mm 	
FIE073 	801.14	801.73	0.567567567567568 Uh-huh 	
FIE038 	803.32	804.4	0.569498069498069 Changing things on yeah 	
FIE038 	805.66	806.18	0.571428571428571 Um 	
FIE038 	806.18	808.66	0.573359073359073 so again you can have a little l. c. d. light somewhere 	
FIE038 	809.68	810.13	0.575289575289575 The flat 	
FIE038 	811.68	814.15	0.577220077220077 Thing and the forgotten anything 	
FIE038 	815.97	816.94	0.579150579150579 I don't think so 	
FIE038 	817.38	822.23	0.0772200772200772 So as you can see it's a very very simple design which is one of the things i really wanted to keep 	
FIE038 	823.1	826.92	0.0675675675675676 simple not have too many buttons that have to me functionalities trying to it 	
FIE038 	827.66	829.57	0.16988416988417 I think the design can pretty much carry 	
FIE038 	830.13	833.43	0.581081081081081 everything although With the world the flipscreen 	
FIE038 	834.05	835.87	0.583011583011583 Might have to do something slightly 	
FIE073 	836.63	837.36	0.584942084942085 A hinge 	
FIE038 	836.67	837.43	0.586872586872587 Difference 	
FIE073 	838.24	840.26	0.588803088803089 We have to copper hand sure you know 	
FIE038 	839.72	840.19	0.590733590733591 Yeah 	
FIE038 	840.5	845.37	0.0907335907335907 It does have will start watching uh for the weight is depending on how much the the flipscreen will add to the way 	
FIE073 	845.48	846.04	0.592664092664093 Mm hmm 	
FIE038 	845.99	848.39	0.0444015444015444 Of the remote control you don't want it to start getting too happy 	
FIE038 	849.32	853.74	0.594594594594595 But that's the general layout with the general functionalities if we come up with something else 	
FIE038 	854.23	857.41	0.140926640926641 As you can see there's still lots of space on the actual remote control 	
FIE038 	857.84	863.02	0.104247104247104 And if you do a customisable e. You could make this thing fairly small fairly all large 	
FIE073 	863.47	864.23	0.596525096525097 Mm hmm 	
FIE038 	863.57	865.7	0.0926640926640927 Depending on personal preferences 	
FIE038 	867.35	869.13	0.598455598455598 So that's pretty much 	
FIE038 	869.76	873.6	0.171814671814672 Oh i had to say i mean everything else in terms of design issues 	
FIE038 	874.09	876.54	0.6003861003861 And this century know the keypad and 	
FIE038 	877.78	880.6	0.0212355212355212 The channel is just depending on where you're from it is 	
FIE038 	881.08	884.39	0.1003861003861 And you tend to use the the volume control and uh 	
FIE038 	884.82	890.87	0.142857142857143 The browsing more than the actual number pad so that would be sort of interact line for your time goes when you're holding the remote control 	
FIE073 	889.85	890.49	0.602316602316602 Mm 	
FIE038 	891.33	894.03	0.604247104247104 That number have little bit lower to use less frequently 	
FIE073 	894.01	894.62	0.606177606177606 Mm hmm 	
FIE038 	895.1	899.03	0.608108108108108 So once we decide exactly what we want then we can figure out the exact positioning 	
FIE038 	899.5	901.85	0.61003861003861 But more or less i think it should go along those lines 	
MIO086 	904.59	905.8	0.611969111969112 So what's your yeah 	
MIO086 	906.83	908.26	0.613899613899614 The comments or uh 	
MIE085 	909.63	910.45	0.16023166023166 Simple design 	
MIE085 	911.97	912.96	0.615830115830116 So consumers want 	
MIO086 	913.25	913.59	0.617760617760618 Okay 	
MIE085 	914.64	917.51	0.61969111969112 Some of like fifteen we have a product i i 	
FIE038 	916.66	917.67	0.621621621621622 I 	
MIE085 	919.26	920.45	0.623552123552124 Problems obviously gonna be 	
FIE038 	921.49	921.84	0.625482625482625 Uh-huh 	
MIE085 	923.15	924.7	0.627413127413127 Okay i also have of 	
MIE085 	925.43	926.4	0.629343629343629 Very simple 	
MIE085 	927.81	928.67	0.631274131274131 Presentation 	
MIO086 	928.81	928.94	0.633204633204633 Yeah 	
MIE085 	929.19	931.95	0.635135135135135 But from a marketing point you have to see what the consumers want 	
MIE085 	933.37	934.52	0.637065637065637 Also have well 	
MIE085 	935.39	936.15	0.638996138996139 Copied uh 	
MIE085 	937.94	938.93	0.640926640926641 Different type of remote 	
MIE085 	940.99	942.63	0.187258687258687 If you can find me where i'm at 	
MIE085 	944.37	945.55	0.642857142857143 Should we be one in here 	
MIE085 	946.8	947.55	0.644787644787645 Sure sure 	
FIE073 	953.22	953.6	0.646718146718147 Sure 	
MIE085 	954.95	955.72	0.648648648648649 Being modified 	
MIE085 	957.21	958.35	0.650579150579151 For stealing our product 	
MIE085 	960.63	970.41	0.652509652509653 With the municipal questionnaires and every year is because it was a cinetis you would come most consumers are looking for today This is the trends changing very very quickly 	
MIE085 	970.94	974.6	0.654440154440154 In six months maybe this ideas already got out the window So 	
MIE085 	975.21	976.88	0.656370656370656 be a question how fast we can act 	
MIE085 	977.68	977.89	0.658301158301158 Yeah 	
MIE085 	977.89	978.5	0.66023166023166 uh 	
MIE085 	978.5	980.08	0.662162162162162 they are your wrist wrist am i know 	
FIE073 	980.77	981.1	0.664092664092664 No 	
FIE073 	981.62	982.72	0.666023166023166 Go to findings 	
MIE085 	982.11	982.54	0.667953667953668 No no 	
MIE085 	982.99	983.45	0.66988416988417 No 	
MIE085 	985.38	986.58	0.671814671814672 So i don't know the commentator 	
MIE085 	987.26	988.24	0.673745173745174 the market trend 	
MIE085 	989.23	999.99	0.0501930501930502 This is what we know from the last uh or from the questionnaires and although although Surveys we've done fancy and feel good that's what we're looking for something that feels good in the hand that's easy to use 	
MIE085 	1000.58	1006.73	0.144787644787645 But different next generation of innovation because all the remote out there now they're all very similar they'll do the same thing 	
MIE085 	1007.2	1008.56	0.675675675675676 We have to something completely different 	
MIE085 	1009.28	1014.07	0.0521235521235521 "'kay" easy to use as well as become has become another major interest that the 	
MIE085 	1014.67	1017.51	0.0193050193050193 With the whiteboard we can see that uh remote that's easy to 	
MIE085 	1019.4	1024.52	0.677606177606178 And i think this is another thing is interesting is the consumers actually willing to pay the price for exciting to have technology 	
MIE085 	1025.3	1027.89	0.67953667953668 So we have we have a product that may be more expensive 	
MIE085 	1028.65	1029.73	0.681467181467181 If it comes out right 	
MIE085 	1030.38	1034.55	0.683397683397683 If they didn't look it looks and feels good to have technology 	
MIE085 	1035.33	1039.55	0.0231660231660232 The second two you can see the last one is a very easy simple design 	
MIE085 	1040.62	1048.31	0.123552123552124 The second one is about uh forty five thousand different buttons on it which makes it very hard to read for an i. d. is the first one i see 	
MIE085 	1048.84	1050.32	0.117760617760618 But they put in a display 	
MIE085 	1051.41	1059.24	0.148648648648649 That is something also with a little flip up now we're adding all kinds of things and a little flip up if you have a little display on the flip up the wanna close it everything's locked 	
MIE085 	1060.02	1065.98	0.0482625482625483 Maybe the display also makes it easier to use because sometimes in your looking for buttons maybe if you see a display 	
FIE073 	1066.81	1069.03	0.685328185328185 Context instead of instructions 	
FIE038 	1069.23	1069.57	0.687258687258687 Right 	
MIE085 	1069.53	1070.04	0.689189189189189 Okay 	
FIE073 	1069.97	1073.69	0.691119691119691 I mean with the top what mode the t. v. you're the d. v. d. or something else to say and 	
MIE085 	1072.99	1075.74	0.693050193050193 "'cause" i've seen mostly the standard ones yeah 	
FIE038 	1073.65	1077.21	0.133204633204633 Especially many something like that for training the speech recognition 	
MIE085 	1076.25	1082.91	0.027027027027027 Now you have as many have one with a very simple also the idea simple but with the display So you can see which are going 	
FIE038 	1081.75	1082.06	0.694980694980695 Uh-huh 	
MIE085 	1083.81	1086.61	0.0540540540540541 So maybe three in incorporate the easiness of use 	
MIE085 	1087.98	1089.35	0.696911196911197 Train be fancy 	
MIE085 	1090.08	1090.82	0.698841698841699 Feels good 	
MIE085 	1093.85	1094.66	0.700772200772201 Uh 	
MIE085 	1095.17	1095.98	0.702702702702703 With the display 	
MIE085 	1097.23	1099.83	0.0810810810810811 Would designer would design colours 	
MIE085 	1100.37	1100.77	0.706563706563707 Mine 	
FIE073 	1100.37	1101.7	0.704633204633205 Yeah maybe which you could do is 	
FIE073 	1102.23	1104.01	0.708494208494209 video orders the device 	
FIE073 	1105.04	1107.12	0.71042471042471 You could send them like um 	
FIE073 	1107.8	1108.67	0.712355212355212 He uh 	
FIE073 	1110.05	1110.69	0.714285714285714 At some 	
FIE073 	1111.14	1112.57	0.716216216216216 foam rubber 	
FIE073 	1113.08	1114.27	0.718146718146718 Um 	
FIE073 	1115.4	1118.83	0.72007722007722 Ball And then they would squeeze it you would take the shape of 	
FIE038 	1115.64	1116.69	0.722007722007722 Arrow yeah 	
FIE038 	1119.41	1122.84	0.723938223938224 Yeah so it's really moulded to do it to your specific 	
FIE073 	1121.08	1123.7	0.725868725868726 To to it it it in and then you would 	
FIE073 	1124.88	1125.34	0.727799227799228 Um 	
FIE073 	1125.34	1129.06	0.72972972972973 what the geometry of their hands would be e. and uh 	
MIE085 	1129.38	1130.91	0.731660231660232 Hard disk reason i 	
MIE085 	1131.96	1134.91	0.733590733590734 Resisted resisted i uh 	
FIE073 	1132.18	1133.36	0.735521235521235 You know what i know what 	
FIE038 	1132.3	1132.99	0.737451737451737 I 	
FIE038 	1136.52	1143.48	0.739382239382239 But the for that you'd also have to do sort of an average across families and things like that if Unless everyone has their own personal remote 	
FIE073 	1139.78	1142.68	0.741312741312741 That's right that's right you wouldn't wanna go too far down that 	
FIE073 	1143.72	1146.33	0.743243243243243 Oh that that actually would uh increase the um 	
FIE073 	1146.33	1148.17	0.745173745173745 the revenue it so we could expect yeah 	
FIE038 	1146.64	1147.84	0.747104247104247 To say i 	
MIO086 	1150.6	1151.04	0.749034749034749 I hope so 	
MIE085 	1151.25	1153.17	0.750965250965251 No but incorporating the three uh 	
MIE085 	1153.53	1154.5	0.752895752895753 Obviously be something 	
MIE085 	1155.22	1155.74	0.754826254826255 on the market 	
FIE038 	1155.91	1156.28	0.756756756756757 Yeah 	
MIE085 	1156.3	1157.19	0.758687258687259 Totally different 	
MIE085 	1157.95	1158.65	0.760617760617761 Yeah 	
MIE085 	1158.65	1159.29	0.762548262548263 for my 	
FIE038 	1158.71	1160.74	0.106177606177606 Already the customisable really is 	
FIE038 	1161.44	1162.72	0.764478764478765 A really good sort of 	
MIE085 	1163.29	1166.5	0.766409266409266 Well what it was the the uh was a nokia taking all of those 	
